time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,,time(sec), throughput(req/sec) 5, avg_lat(ms) 5,, throughput(req/sec) 6, avg_lat(ms) 6
1095,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1100,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1105,29.4,1067.406,1000.645,1052.905,1068.06,1085.175,1101.263,1117.679,1118.072,1128.225,0.001,,,,,,,
1110,619.4,1025.229,996.846,1017.183,1017.971,1018.88,1027.656,1067.999,1175.288,1628.368,0.001,,,,,,,
1115,811.6,1019.253,999.176,1016.92,1017.659,1018.436,1026.007,1036.002,1083.06,1111.438,0.001,,,,,,,
1120,788.2,1019.9,999.504,1016.679,1017.404,1018.067,1023.512,1035.761,1084.35,1524.727,0.001,,,,,,,
1125,806.6,1019.405,999.553,1016.67,1017.348,1017.967,1024.306,1028.101,1084.735,2016.14,0.001,,,,,,,
1130,795,1019.711,999.155,1016.522,1017.145,1017.755,1025.346,1034.407,1084.231,1432.639,0.001,,,,,,,
1135,812.2,1019.301,999.176,1016.505,1017.051,1017.761,1023.599,1034.236,1075.964,1475.638,0.001,,,,,,,
1140,825.6,1018.918,994.781,1016.417,1017.003,1017.628,1025.27,1034.377,1083.5,1231.509,0.001,,,,,,,
1145,864.4,1018.122,997.796,1016.357,1017.033,1017.726,1025.366,1026.877,1074.91,1108.624,0.001,,,,,,,
1150,852.4,1018.388,999.165,1016.368,1017.003,1017.559,1023.914,1027.61,1083.885,1108.783,0.001,,,,,,,
1155,729.8,1097.024,997.548,1016.268,1016.83,1017.427,1022.526,1026.318,1083.974,19157.779,0.001,,,,,,,
1160,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1165,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1170,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1175,430.4,1020.283,999.289,1016.17,1016.815,1017.521,1025.261,1041.831,1125.091,1223.74,0.001,,,,,,,
1180,807.4,1088.507,999.251,1016.252,1016.88,1017.428,1021.561,1026.189,1093.105,18936.983,0.001,,,,,,,
1185,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1190,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1195,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1200,401.2,1020.148,999.192,1016.14,1016.834,1017.466,1025.534,1059.112,1092.504,1242.595,0.001,,,,,,,
1205,829.6,1019.162,999.329,1016.225,1016.852,1017.447,1025.055,1026.328,1084.139,1455.555,0.001,,,,,,,
1210,825.2,1018.758,999.491,1016.195,1016.811,1017.458,1024.99,1027.519,1076.4,1192.261,0.001,,,,,,,
1215,842.6,1018.544,999.245,1016.264,1016.87,1017.471,1025.029,1033.632,1091.021,1110.373,0.001,,,,,,,
1220,853.6,1018.37,999.215,1016.209,1016.873,1017.448,1025.063,1026.821,1085.342,1103.228,0.001,,,,,,,
1225,873.4,1017.958,999.391,1016.144,1016.79,1017.294,1024.588,1026.4,1075.086,1091.669,0.001,,,,,,,
1230,857.6,1018.21,998.159,1016.098,1016.753,1017.305,1024.956,1033.123,1083.243,1134.4,0.001,,,,,,,
1235,863.8,1018.154,997.621,1016.181,1016.791,1017.489,1024.959,1026.352,1076.709,1166.982,0.001,,,,,,,
1240,882.2,1017.768,999.469,1016.177,1016.761,1017.392,1024.736,1026.033,1091.396,1101.48,0.001,,,,,,,
1245,883,1017.772,996.365,1016.163,1016.766,1017.382,1024.891,1025.948,1091.157,1106.721,0.001,,,,,,,
1250,840,1018.632,997.192,1016.142,1016.683,1017.346,1025.012,1033.832,1091.118,1134.136,0.001,,,,,,,
1255,872.2,1017.974,999.155,1016.099,1016.753,1017.266,1024.444,1025.998,1092.342,1117.056,0.001,,,,,,,
1260,845,1018.731,993.398,1016.195,1016.834,1017.518,1025.011,1030.706,1092.699,1101.383,0.001,,,,,,,
1265,871.4,1017.869,999.396,1016.087,1016.698,1017.438,1024.789,1026.169,1082.92,1107.585,0.001,,,,,,,
1270,873.4,1017.957,999.39,1016.032,1016.681,1017.296,1024.961,1026.35,1082.97,1101.405,0.001,,,,,,,
1275,874.6,1017.916,997.546,1016.07,1016.675,1017.301,1024.631,1027.676,1075.717,1109.089,0.001,,,,,,,
1280,547.2,1145.051,999.451,1016.11,1016.703,1017.325,1024.675,1032.988,1100.061,22713.626,0.001,,,,,,,
1285,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1290,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1295,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1300,17.2,1023.074,1000.078,1016.322,1016.862,1024.854,1035.131,1075.588,1075.605,1075.605,0.001,,,,,,,
1305,782.2,1096.832,999.371,1016.027,1016.61,1017.248,1024.806,1026.784,1083.338,20479.787,0.001,,,,,,,
1310,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1315,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1320,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1325,60.2,2160.004,999.935,1022.518,1025.605,1091.133,1142.534,21952.344,21992.876,21994.035,0,,,,,,,
1330,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1335,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1340,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1345,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1350,203.6,1076.783,999.919,1021.155,1023.33,1060.36,1148.224,1284.496,1732.018,1786.736,0.001,,,,,,,
1355,85.2,1908.201,999.707,1019.812,1021.331,1030.702,1107.931,1154.672,24312.125,24322.828,0.001,,,,,,,
1360,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1365,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1370,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1375,7.2,1167.77,1001.097,1136.593,1172.306,1237.804,1237.847,1238.86,1238.963,1238.963,0.001,,,,,,,
1380,278,1056.535,999.459,1019.287,1020.547,1022.666,1054.001,1156.982,2128.875,2249.36,0.001,,,,,,,
1385,207.6,1085.641,999.648,1018.884,1019.898,1021.938,1102.79,1156.273,4169.655,4171.282,0.001,,,,,,,
1390,194.2,1073.185,999.432,1018.407,1019.381,1024.564,1110.654,1120.464,3603.014,3605.401,0.001,,,,,,,
1395,184,1330.392,999.629,1018.241,1019.336,1020.973,1060.529,1119.878,17995.996,18090.833,0.001,,,,,,,
1400,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1405,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1410,101.6,1027.618,999.564,1018.322,1019.02,1020.328,1052.644,1063.073,1244.427,1245.722,0.001,,,,,,,
1415,42.6,2416.857,999.663,1018.116,1018.96,1020.197,1068.491,19565.744,19642.146,19642.637,0,,,,,,,
1420,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1425,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1430,19.6,1197.488,1007.345,1111.614,1193.873,1285.66,1321.704,1361.399,1362.574,1362.574,0.001,,,,,,,
1435,134.4,1155.93,999.174,1017.785,1018.513,1019.281,1028.416,1053.186,6770.119,6778.243,0.001,,,,,,,
1440,243.2,1043.791,999.244,1017.989,1018.866,1023.984,1126.949,1193.947,1567.936,1569.558,0.001,,,,,,,
1445,246.2,1065.727,999.67,1017.857,1018.715,1020.106,1070.53,1119.914,3498.388,3526.993,0.001,,,,,,,
1450,465.6,1033.361,999.394,1017.571,1018.419,1019.827,1059.939,1093.251,1502.032,1755.866,0.001,,,,,,,
1455,333,1195.03,999.121,1017.263,1017.95,1018.798,1028.071,1069.063,1654.032,18450.774,0.001,,,,,,,
1460,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1465,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1470,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1475,246.4,1095.351,999.8,1017.027,1017.799,1018.572,1034.016,1126.902,6302.517,6414.273,0.001,,,,,,,
1480,253.6,1159.548,997.49,1017.124,1017.828,1018.645,1051.115,1085.021,11783.807,11794.716,0.001,,,,,,,
1485,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1490,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1495,275.6,1157.414,999.074,1017.018,1017.616,1018.347,1019.598,1058.631,12886.167,13039.181,0.001,,,,,,,
1500,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1505,160,1020.356,999.997,1017.017,1017.671,1018.367,1026.047,1027.747,1169.653,1170.073,0.001,,,,,,,
1510,116,1419.666,999.059,1016.975,1017.708,1018.513,1026.671,1050.897,15717.283,15725.179,0.001,,,,,,,
1515,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1520,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1525,20.4,1794.331,1000.078,1736.175,1860.073,1950.213,2103.033,2151.469,2151.515,2151.574,0.001,,,,,,,
1530,19.2,1854.12,1000.179,1827.548,1909.187,1970.122,2143.363,2192.078,2193.01,2193.01,0.001,,,,,,,
1535,17.6,1906.388,1000.028,1760.314,1933.554,2185.259,2227.053,2234.183,2235.372,2235.372,0.001,,,,,,,
1540,186.6,1350.74,999.735,1016.964,1017.627,1018.297,1028.05,1676.364,18147.714,19165.487,0.001,,,,,,,
1545,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1550,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1555,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1560,10.8,2320.645,1000.02,2044.541,2310.884,2925.641,3034.479,3034.776,3035.7,3035.7,0,,,,,,,
1565,274.8,1233.415,999.466,1016.737,1017.458,1018.224,1026.904,1068.895,17864.319,17874.027,0.001,,,,,,,
1570,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1575,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1580,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1585,283.8,1241.096,999.371,1016.749,1017.506,1018.352,1027.563,1068.828,20373.135,20433.334,0.001,,,,,,,
1590,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1595,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1600,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1605,391.4,1025.103,999.528,1016.715,1017.395,1018.141,1028.205,1075.801,1175.215,1409.675,0.001,,,,,,,
1610,814.6,1019.203,996.451,1016.74,1017.34,1018.202,1025.253,1033.603,1100.564,1110.641,0.001,,,,,,,
1615,816.6,1019.187,999.603,1016.75,1017.379,1018.132,1025.824,1033.575,1085.22,1119.277,0.001,,,,,,,
1620,796.8,1019.675,999.5,1016.598,1017.381,1018.173,1026.138,1050.737,1092.787,1117.806,0.001,,,,,,,
1625,852.4,1018.417,996.038,1016.606,1017.237,1017.967,1025.46,1027.408,1075.652,1095.221,0.001,,,,,,,
1630,598.4,1119.647,999.429,1016.483,1017.124,1017.95,1026.03,1035.051,1117.47,19917.523,0.001,,,,,,,
1635,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1640,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1645,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1650,380,1021.316,999.52,1016.557,1017.216,1018.006,1026.524,1051.041,1150.362,1211.359,0.001,,,,,,,
1655,815.2,1019.087,995.519,1016.557,1017.204,1017.9,1025.631,1028.28,1091.33,1117.92,0.001,,,,,,,
1660,854.4,1018.328,989.048,1016.447,1017.116,1017.727,1025.232,1027.583,1076.536,1101.089,0.001,,,,,,,
1665,852.2,1018.383,999.372,1016.454,1017.075,1017.773,1025.354,1027.419,1076.857,1126.299,0.001,,,,,,,
1670,835.8,1018.716,999.559,1016.452,1017.075,1017.826,1025.343,1033.459,1083.091,1101.006,0.001,,,,,,,
1675,826.2,1018.986,999.314,1016.465,1017.052,1017.742,1025.634,1035.09,1075.814,1101.492,0.001,,,,,,,
1680,160.4,1325.593,997.397,1016.649,1017.13,1017.76,1025.73,1027.025,16471.805,16472.028,0.001,,,,,,,
1685,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1690,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1695,581.6,1019.634,996.523,1016.251,1016.992,1017.762,1025.834,1058.076,1087.732,1134.475,0.001,,,,,,,
1700,841,1018.687,995.471,1016.4,1017.089,1017.772,1025.788,1033.073,1083.898,1108.331,0.001,,,,,,,
1705,67.2,1623.686,999.672,1016.276,1016.986,1017.631,1025.485,1033.464,13840.843,13849.575,0.001,,,,,,,
1710,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1715,275,1021.648,999.662,1016.464,1016.951,1017.594,1025.295,1034.431,1193.871,1203.227,0.001,,,,,,,
1720,844,1018.59,999.217,1016.199,1016.888,1017.544,1025.346,1033.627,1084.479,1103.743,0.001,,,,,,,
1725,831.2,1018.834,992.787,1016.153,1016.802,1017.445,1025.099,1034.07,1083.521,1235.133,0.001,,,,,,,
1730,853,1018.333,995.882,1016.173,1016.798,1017.405,1024.077,1026.173,1107.525,1121.256,0.001,,,,,,,
1735,850,1018.528,999.259,1016.322,1016.906,1017.464,1024.476,1026.326,1092.225,1134.615,0.001,,,,,,,
1740,863.2,1018.053,999.299,1016.237,1016.831,1017.408,1024.756,1026.422,1083.662,1117.809,0.001,,,,,,,
1745,817.4,1019.192,999.106,1016.246,1016.85,1017.547,1025.176,1033.45,1084.325,2014.342,0.001,,,,,,,
1750,186.8,1341.624,999.751,1016.337,1016.93,1017.724,1025.792,1058.571,19846.517,19904.875,0.001,,,,,,,
1755,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1760,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1765,3.4,1095.286,1016.119,1076.582,1076.623,1133.011,1134.22,1134.25,1134.25,1134.25,0.001,,,,,,,
1770,547.2,1111.998,999.236,1016.381,1016.955,1017.794,1025.788,1050.055,1168.222,16686.11,0.001,,,,,,,
1775,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1780,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1785,105,1021.791,999.951,1016.093,1016.922,1018.077,1026.918,1075.076,1100.15,1101.312,0.001,,,,,,,
1790,518.8,1108.421,999.512,1016.193,1016.853,1017.554,1025.449,1036.26,1100.15,15533.547,0.001,,,,,,,
1795,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1800,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1805,49.8,1924.663,999.353,1022.511,1025.483,1075.075,1186.659,14555.099,14717.255,14722.987,0.001,,,,,,,
1810,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1815,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1820,52.4,1530.682,1000.003,1021.716,1024.251,1038.154,1090.367,9145.754,9164.683,9164.739,0.001,,,,,,,
1825,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1830,49,1899.21,1000.474,1030.724,1082.663,1157.461,1224.828,13411.189,13488.57,13488.812,0.001,,,,,,,
1835,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1840,14,1138.819,1001.008,1082.843,1134.747,1156.839,1231.119,1331.979,1332.027,1332.027,0.001,,,,,,,
1845,41.6,2166.168,999.762,1021.662,1022.967,1034.394,1197.978,15685.627,15738.976,15739.082,0,,,,,,,
1850,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1855,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1860,62.2,1757.208,999.602,1021.415,1024.053,1038.783,1124.581,15041.287,15055.633,15055.678,0.001,,,,,,,
1865,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1870,2,1096.377,1002.268,1067.597,1117.662,1118.845,1119.231,1119.231,1119.231,1119.231,0.001,,,,,,,
1875,67,1712.488,999.616,1020.535,1022.001,1023.794,1069.387,1122.059,15442.001,15442.07,0.001,,,,,,,
1880,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1885,2,1209.403,1209.35,1209.383,1209.402,1209.417,1209.482,1209.482,1209.482,1209.482,0.001,,,,,,,
1890,58,2291.056,1000.079,1019.913,1023.638,1053.337,1071.991,23811.532,23924.948,23924.956,0,,,,,,,
1895,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1900,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1905,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1910,34,1141.187,1000.317,1121.116,1137.34,1196.005,1220.955,1231.58,1247.41,1301.743,0.001,,,,,,,
1915,144.6,1134.713,999.717,1019.258,1020.514,1022.491,1095.265,1422.39,3562.932,3564.118,0.001,,,,,,,
1920,352.8,1035.345,999.389,1018.533,1019.524,1022.062,1036.725,1051.65,1509.642,1653.609,0.001,,,,,,,
1925,493.6,1031.352,999.021,1018.168,1019.027,1020.146,1036.457,1089.224,1460.243,1515.288,0.001,,,,,,,
1930,88,1398.945,999.631,1017.731,1018.626,1019.693,1028.254,1062.385,11482.441,11482.881,0.001,,,,,,,
1935,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1940,153.2,1217.397,999.351,1018.095,1018.723,1019.71,1051.824,1113.506,10258.52,10269.758,0.001,,,,,,,
1945,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1950,156.6,1080.044,999.129,1017.493,1018.599,1043.284,1200.495,1318.188,2287.103,2597.738,0.001,,,,,,,
1955,167.6,1228.799,998.722,1017.911,1018.616,1019.568,1097.442,1111.837,11517.33,11528.096,0.001,,,,,,,
1960,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1965,194.8,1323.561,999.522,1017.551,1018.314,1019.485,1052.473,1077.652,19303.92,19348.411,0.001,,,,,,,
1970,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1975,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1980,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1985,176.6,1059.519,999.585,1017.805,1019.393,1076.742,1127.114,1153.171,1580.365,2425.022,0.001,,,,,,,
1990,404,1039.78,999.618,1017.429,1018.181,1019.315,1060.432,1118.443,1550.959,1820.027,0.001,,,,,,,
1995,263.8,1251.158,999.298,1017.293,1018.004,1019.54,1083.697,1135.534,18865.642,19384.725,0.001,,,,,,,
2000,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2005,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2010,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2015,249.2,1290.546,999.105,1017.128,1017.842,1018.515,1027.054,1059.996,21666.542,21743.325,0.001,,,,,,,
2020,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2025,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2030,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2035,8,1947.079,1000.758,1176.957,1178.579,3340.66,3577.821,3577.841,3578.294,3578.294,0.001,,,,,,,
2040,14.2,2017.747,1000.642,1930.247,1969.579,2086.05,2660.555,2660.604,2660.686,2660.686,0,,,,,,,
2045,21.6,1730.445,1000.817,1328.859,1853.308,1959.619,2234.998,2281.795,2285.841,2285.89,0.001,,,,,,,
2050,18.6,1791.168,1000.671,1845.266,1920.107,1944.855,1971.509,2060.57,2061.876,2061.876,0.001,,,,,,,
2055,89.6,1168.202,999.573,1017.038,1017.841,1019.025,1811.53,1895.443,2060.313,2061.133,0.001,,,,,,,
2060,44.6,2282.199,999.955,1017.071,1017.817,1018.371,1085.684,18612.086,18616.826,18626.883,0,,,,,,,
2065,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2070,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2075,258.2,1031.029,999.258,1017.024,1017.862,1019.539,1059.883,1085.456,1484.15,1536.167,0.001,,,,,,,
2080,520.8,1027.835,999.166,1016.835,1017.594,1018.444,1034.653,1100.532,1168.741,1716.075,0.001,,,,,,,
2085,369.6,1097.032,999.657,1016.772,1017.524,1018.337,1026.816,1117.917,1436.88,9294.397,0.001,,,,,,,
2090,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2095,338.2,1187.033,999.356,1016.727,1017.405,1018.015,1026.179,1075.044,2068.262,17676.564,0.001,,,,,,,
2100,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2105,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2110,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2115,381.4,1032.629,999.29,1016.648,1017.455,1020.808,1068.357,1141.613,1243.596,1509.617,0.001,,,,,,,
2120,465.4,1034.317,999.321,1016.815,1017.935,1024.343,1092.331,1139.127,1251.713,1320.294,0.001,,,,,,,
2125,506.4,1030.788,999.366,1019.235,1020.165,1021.655,1037.583,1068.702,1238.525,1906.761,0.001,,,,,,,
2130,640.8,1024.562,999.355,1018.376,1019.432,1020.969,1045.36,1062.333,1096.705,1196.024,0.001,,,,,,,
2135,710.6,1022.144,999.299,1017.853,1018.635,1019.724,1028.64,1053.28,1086.471,1194.793,0.001,,,,,,,
2140,771.2,1020.351,995.716,1017.456,1018.204,1019.019,1027.238,1051.417,1092.598,1132.917,0.001,,,,,,,
2145,808.6,1019.38,999.117,1017.184,1017.872,1018.716,1026.45,1050.39,1076.176,1084.801,0.001,,,,,,,
2150,825.4,1019.076,999.085,1016.881,1017.596,1018.294,1025.055,1033.085,1084.412,1095.704,0.001,,,,,,,
2155,803.4,1019.445,999.462,1016.868,1017.468,1018.215,1026.374,1050.468,1078.132,1113.863,0.001,,,,,,,
2160,717.8,1100.199,995.937,1016.658,1017.279,1017.934,1025.631,1033.784,1084.526,19415.383,0.001,,,,,,,
2165,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2170,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2175,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2180,214,1035.922,999.476,1016.715,1017.48,1024.152,1067.691,1143.385,1380.636,1614.525,0.001,,,,,,,
2185,499.8,1045.802,999.339,1016.641,1017.268,1018.033,1033.945,1075.07,1646.056,4134.988,0.001,,,,,,,
2190,395.4,1027.598,999.628,1016.51,1017.069,1017.881,1026.632,1067.508,1151.291,1777.461,0.001,,,,,,,
2195,415.8,1095.96,999.142,1016.488,1017.061,1017.633,1023.385,1026.646,1085.002,11233.053,0.001,,,,,,,
2200,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
2205,263.2,1021.557,999.392,1016.553,1017.143,1017.828,1026.59,1051.427,1110.377,1205.982,0.001,,,,,,,
2210,178.6,1351.28,997.072,1016.532,1016.931,1017.754,1025.333,1058.797,19624.783,19626.3,0.001,,,,,,,
2215,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
